name,state,city,address,lattitude,longitude,type
Ather Space  Aurangabad,Maharashtra,aurangabad,"Gopinath Chambers, Adalat Rd, near Chunilal Petrol Pump, Konkanwadi, Aurangabad, Maharashtra ",19.87,75.3251880766865,6.0
"Ather space, Malappuram",Maharashtra,malappuram,"SH 72, Kizhakkethala, Down Hill, Malappuram, Kerala 676505",11.05,76.0753978,6.0
"Ather Space, Tirur",Tamil Nadu,tirur,"Pookkayil, Tirur, Kerala ",10.92,75.9131205,6.0
Ather Space Kolhapur,Kerala,kolhapur,"C.S. No. 195K/2K, Kavala Naka, E-Ward, Kolhapur ",16.7,74.2510693844606,6.0
AtherSpace Rajajinagar,Gujarat,bengaluru,"No. 0025 (Old no.1003), 59th C Cross, 4th M Block, Sriram Mandir, Dr.Rajkumar Road, Rajaji Nagar",12.98,77.560699,6.0
"Radisson Resort, ECR",Andhra Pradesh,Chennai,ECR,12.62,80.1947665,6.0
Nikshan Electronics,Telangana,kannur,"Nikshan Arena, Bank Rd, Padanapalam, Kannur, Kerala ",11.86,75.3660221268055,6.0
"E Planet, Thalassery",Andhra Pradesh,kannur,"AVK Nair Road, Pilakool, Thalassery, Kerala ",11.74,75.4950197030621,6.0
Oyo Soho,Andhra Pradesh,noida,"D-141, Block D, Sector 51, Noida, Uttar Pradesh 201301",28.58,77.37497,6.0
M R A Restaurant,Andhra Pradesh,kannur,"Kasaragod - Kannur Rd, Trichambaram, Taliparamba, Kerala ",12.02,75.367177336021,6.0
"AIMA Charging Station, Karinganad",Telangana,malappuram,"Karinganad, Vilayur PO, Pattambi Taluk",10.88,76.189669,6.0
Kekiz Malleswaram,Telangana,bengaluru,"No 280, Ira Arcade, 18th Cross, Sampige Road,  Malleswaram,",13.0,77.571179,6.0
Muthiah Towers,Telangana,tiruchirappalli,"Muthiah Towers, 1, Royal Rd, Cantonment, Tiruchirappalli, Tamil Nadu ",10.79,78.6807052,6.0
"Chai Point, Bellandur",Telangana,bengaluru,"4, Marathahalli - Sarjapur Outer Ring Rd, Koramangala 6 Block, Bellandur",12.92,77.668422,6.0
HOTEL REDWINGS CASTLE,Karnataka,Mumbai,"Near to Orion Mall/ New Panvel Bridge, Old, Mumbai - Pune Expy,",18.99,73.1151324189656,6.0
Radisson Bengaluru City Center,Delhi,bengaluru,"2, Gangadhar Chetty Rd, Yellappa Chetty Layout, Sivanchetti Gardens, Halasuru",12.97,77.619717,6.0
Mealodroma,Delhi,Delhi,"A6, 110027, Najafgarh Rd, Vishal Enclave, Rajouri Garden, Delhi, 110027",28.64,77.1147014,6.0
Hotel Om Navratna,Delhi,Mumbai,"1/766, Old Mumbai Pune Highway, Near Agarwal Movers & Packers Ltd, at post Chouk",18.9,73.2365788533079,6.0
Ather Space Mangalore,Punjab,mangalore,"No 3-30-2399/2, Pound Graden, Kadri Road,  Behind City Hospital",12.87,74.8513216,6.0
Ather Space Kannur,Punjab,kannur,"Crux Mobility Pvt Ltd, City Tower, Near Har Cars",11.87,75.3872,6.0
"Ather Space, Thrissur",Karnataka,trichur,"Autostarke Energy Pvt Ltd, 14/3 A1, Puzhakkal",10.54,76.184562,6.0
Hitech Motors,Maharashtra,tirupati,"Kanigiri - Tirupathi Rd, SV Auto Nagar, Tirupati, Andhra Pradesh",13.62,79.4619883,6.0
"Ather Space, Palakkad",Jharkhand,palakkad,"KVR Green Energy Pvt Ltd , TS2 Ventures , Mercy College Junction",10.77,76.637861,6.0
Cashew Tree ,Odisha,goa,"Vaddy, Candolim, Candolim, Goa",15.51,73.7684465,6.0
MMA Matrix Gym,West Bengal,kolhapur,"MMA Matrix Gym, 1st Floor, Desai House, 7th Ln,",16.69,74.2410299261698,6.0
Akki's Bistro,Andhra Pradesh,kolhapur,"CS No 1082, Chandrameela Building, Near Krishna temple, Mohite park, Kolhapur, Maharashtra 416012",16.68,74.2084223,6.0
Roy ka rasoi,Chhattisgarh,siliguri,"Netaji Subhas Road, Ward 20, Subhas Pally, Siliguri, West Bengal",26.7,88.4380447,6.0
Hotel Kuppana,Delhi,tirupati,"5th Cross Rd, Tirumala Reddy Nagar, Mangalam, Tirupati, Andhra Pradesh 517507",13.64,79.446494,6.0
Guru Sweets & Snacks,Punjab,siliguri,"Khaprail Bazar Near R.P Trading, Khopalasi, West Bengal",26.76,88.3388182,6.0
Hotel Rasraj Parking Zone,Maharashtra,Mumbai,"Gaurav Automobile Compound, ,Ramnath Rd, opp. BVM Multiplex,",18.65,72.8740709203267,6.0
Crazy Coffee,Maharashtra,jaipur,"Shop no. 9, Vardhman Nagar, near PUNO 200ft By Pass, Ajmer Rd, Jaipur",26.88,75.7397918152921,6.0
Sultan of Flavours Restaurant,Maharashtra,palakkad,"Stadium Bypass Rd, Sultanpet, Palakkad",10.76,76.6603123172791,6.0
Kalanthans Cafe,Maharashtra,kochi,"Palarivattom, Kochi",10.0,76.3040071197043,6.0
Devaragam Hotel,Maharashtra,trichur,"Outer Ring Road, Opp Railway Station, East Nada, Guruvayur",10.59,76.0443370352623,6.0
Ather Space Thane,Rajasthan,Mumbai,"Shop No. 4, Mansarovar, Opp. TMC Building, Almeda Rd,",19.19,72.9674150562047,6.0
Irani Chai,Delhi,bengaluru,"294, 15th Cross Rd, Sector 4, HSR Layout, Bengaluru",12.91,77.644164,6.0
"BESCOM,  KR Circle",Karnataka,bengaluru,"KR circle, Nrupathunga Road, Nunegundlapalli,  Ambedkar Veedhi, Bengaluru",12.97,77.5877251,6.0
"Ather Space, Kollam",Tamil Nadu,kollam,"Raj Plaza Building, Kilikkolloor P.O, Kollam ",8.899,76.6129967442303,6.0
"Naattarasan, Urapakkam",Kerala,Chennai,"No: 245, GST Road, Opp to Indian Oil Bunk, Urapakkam, Chennai, Tamil Nadu ",12.85,80.0694857,6.0
Hungry Hippo,Kerala,visakhapatnam,"50-49-43/A, TPT Colony, Balayya Sastri Layout, Seethammadara, Visakhapatnam, Andhra Pradesh 530013",17.74,83.311685815344,6.0
F3 Drive-in,Kerala,Hyderabad,"near Fusion International School, Ameenpur, Miyapur, Telangana",17.51,78.3188293,6.0
"IOCL - COCO Niti Marg, Chanakyapuri",Delhi,Delhi,"Niti Marg, ChanakyaPuri, New Delhi-110021",28.59,77.195806,7.0
"SNEH DHABA, NH 1 Ganaur",Haryana,Ganaur,"64th Milestone, NH-1, Ganaur, Sonipat, Haryana 131101",29.15,77.035833,7.0
"Sara Automobile, Dobhi",Bihar,Gaya,"Sara Automobile Pvt Ltd, Eicher agency,NH-2  Opp:  Punjab National Bank, Suramandal near check post, Dobhi,  Gaya  PIN u00e2u0080u0093 824201",24.52,84.932182,7.0
"GUGNANI AUTOCARS, Pratap Nagari",Odisha,Cuttack,"PLOT NO- 785, PRATAP NAGARI, CUTTACK. State: ODISHA, Pin: 753011",20.4,85.879782,7.0
"Varenyam Motor Car, Industrial Area",Madhya Pradesh,Bhopal,"56-57 JK Road Govindpura, Sector A, Govindpura Industrial Area, Bhopal, Madhya Pradesh 462023",23.25,77.456769,7.0
"Jaika Motors, Civil Lines",Maharashtra,Nagpur,Jaika Motors Pvt Ltd.Post Box No.1 Commercial Road Civil Lines Nagpur 440001,21.15,79.078708,7.0
"IOCL Kini Causway, Bandra",Maharashtra,Mumbai,"36, SV Rd, Santosh Nagar, Bandra West, Mumbai, Maharashtra 400050",19.05,72.838011,7.0
"IOCL Hundred Percent Filling & Service Station, Dwarka",Delhi,Delhi,"Sector 9, Dwarka, New Delhi, Delhi 110073",28.57,77.05962,7.0
"Adisakti Motors, Davangere",Karnataka,Davangere,"No 628/K24, Shramajeevi Building, PB Rd, beside Aradhya Steel Wire Ropes, Avaragere, Davanagere, Karnataka 577003",14.44,75.95206,7.0
"True Sai Motors, Avaragere",Tamil Nadu,Krishnagiri,"No 417A/1A Krishnagiri Chennai Highway, Pethanapalli, opposite to Hotel, Krishnagiri, Tamil Nadu 635001",12.53,78.2375165,7.0
"True Sai Motors, Narasothipatti",Tamil Nadu,Salem,"No 73 Salem, Omalur Highway, next to Hotel Grand Estancia, Narasothipatti, Salem, Tamil Nadu 636004,636001",11.68,78.1260402,7.0
"Vikarsh Nano technology, Dhangarwadi",Maharashtra,Satara,"Vikarsh Nano technology & Alloys pvt ltd, Gat No 273&274, Dhangarwadi village Tal- Khandala, Shirwal Dist- Satara 412801",18.11,73.98985,7.0
"SR Tranzcars, Saibaba Koil",Tamil Nadu,Coimbatore,"1142-A, Mettupalayam Rd, Saibaba Koil, Coimbatore, Tamil Nadu 641043",11.02,76.951635,7.0
"Lakshmi Motors, Ambattur",Tamil Nadu,Chennai,"#79, 80,81, NEAR WAVIN BUS STOP, Ambattur Industrial Estate, Chennai, Tamil Nadu 600058",13.08,80.1704698,7.0
"Lakshmi Motors, Velachery",Tamil Nadu,Chennai,"No 42, Velachery Main Rd, Guindy National Park, Guindy, Chennai, Tamil Nadu 600032",13.0,80.22165,7.0
"Lilium Park, SH 44",Maharashtra,Ahmednagar,"Hotel Lilium Park State Highway 44, Opp. Lemon Tree Hotel, Ahmednagar, Maharashtra 414106",19.26,74.82719974,7.0
"Oberai Motors,  ISBT Rd",Uttarakhand,Dehradun,"Near, ISBT Chowk, Shimla Bypass Rd, Majra, Dehradun, Uttarakhand 248001",30.28,77.998788,7.0
"Ashok Auto Sales, Civil Lines",Uttar Pradesh,Agra,"119-120/8, Sanjay Palace, Sanjay Place, Civil Lines, Agra, Uttar Pradesh 282002",27.2,78.008796,7.0
"IOCL - MC2, Industrial Area II",Punjab,Chandigarh,"Indian OIL - MC 2 , Industrial area Phase-II MC Site, CHANDIGARH TOZIRAKPUR ROAD AT INDUSTRIAL AREA, PHASE-II, CHANDIGARH (U.T.), Chandigarh, PIN: 160002",30.69,76.79662,7.0
"IOCL - COCO WRD, Agarkar Nagar",Maharashtra,Pune,"Agarkar Nagar, Pune, Maharashtra 411001",18.52,73.8655123,7.0
"KVR Dream vehicles, Vidya Nagar",Kerala,Kasargod,"Panalam Nayamar Moola, Alampady Manya Road, Vidya Nagar, PO, Kasaragod, Kerala 671123",12.51,75.02713173,7.0
"Sree Auto, BH Road Tumakuru",Karnataka,Tumakuru,"No 1 BH Road Near Gubbi, Gate, Tumakuru, Karnataka 572107",13.34,77.080192,7.0
"IOCL COCO Chengampalli, Salem-Kochi Highway",Tamil Nadu,Chengampalli,"Salem - Kochi Hwy, Vadamugam Kangayapalayam, Tamil Nadu 638812",11.21,77.441968,7.0
"Hotel Vididhi, Kothagudam",Telangana,Madgulapally,"Survey No. 173/2, 174/6, State Highway 2 NAM Expressway, Miryalaguda Highway Near Madugulapally Toll Plaza Kothagudam, Village, Madgulapally, Telangana 508247",16.99,79.44047,7.0
"Select Cars, Hyderabad Rd - Kothirampur",Telangana,Karimnagar,"No 8-6-396, Hyderabad Rd, Kothirampur, Karimnagar, Telangana 505001",18.41,79.13639,7.0
"MIDAS, Muzzafarnagar",Uttar Pradesh,Muzaffarnagar,"PLOT NO. 77-1 Delhi - Haridwar, Bypass, Hwy, Muzaffarnagar, Uttar Pradesh 251001",29.45,77.7397628,7.0
"MIDAS Auto, Industrial Area ",Uttarakhand,Haridwar,"No E17 Old, Industrial Area, Haridwar, Uttarakhand 249401",29.94,78.144234,7.0
"Basudeb Auto Limited, Shanti Nagar",Jharkhand,Ranchi,"Basudeb Auto, Shanti Nagar, Plot No 11, Kokar Industrial Area, Shanti Nagar, Ranchi, Jharkhand 834001",23.37,85.350737,7.0
"Matsya Amazon Kitchens, Kurnool Rd",Andhra Pradesh,Kurnool,"NH 44; Bangalore - Hyderabad  highway, Kurnool Rd, Andhra Pradesh 518216",15.57,77.93704,7.0
"Utkarsh Mototech, Assam Trunk Rd",Assam,Guwahati,"Kamakhya Gate, Swastik Ayodhya Complex, Assam Trunk Rd, Guwahati, Assam 781009",26.16,91.715516,7.0
"Hotel Grand Leela Krishna, Bhimavaram",Madhya Pradesh,Bhimavaram,"Undi Rd, Balusumoodi, Bhimavaram, Andhra Pradesh 534202",16.54,81.5199403,7.0
"Jadhav Solar & Automotives, Badnera",Maharashtra,"Amravati, MH","Jadhav Solar & Automotives Pvt.  Ltd., Jadhav E-Vehicles, Ground floor, Rangoli Pearl Hotel, Nawathe Square, Badnera Road, Amravati, MH- 444607",20.9,77.7522447,7.0
"IOCL - SUJIT AUTOMOBILES, Bangalore-Kanyakumari Road",Maharashtra,Butibori,"Bangalore - Salem - Madurai - Kanyakumari Road, Butibori, Maharashtra 441108",20.92,78.99986387,7.0
"Tata Steel Car Parking, Northern Town",Jharkhand,Jamshedpur,"Northern Town, Jamshedpur, Jharkhand 831001",22.8,86.188305,7.0
"Sakchi - Parking, Basant Central",Jharkhand,Jamshedpur,"Sakchi, Jamshedpur, Jharkhand 831001",22.8,86.203633,7.0
"Ambagan - Parking, Jubliee Park gate",Jharkhand,Jamshedpur,"Ambagan, Sakchi, Jamshedpur, Jharkhand - 831001",22.8,86.198276,7.0
"Hotel Sanskruti , Trambakeshwar Rd",Maharashtra,Nashik,"Trambakeshwar Rd, Belgaon Dhaga, Nashik, Maharashtra 422007",19.97,73.68105,7.0
"IOCL Manjalpur, GIDC Rd Manjalpur",Gujarat,Vadodara,"312, GIDC Rd, Beside Om Pippadiya Hanumanji Mandir, Ghanshyam Nagar Society 2, Manjalpur, Vadodara, Gujarat 390011",22.27,73.190795,7.0
"RKL TML Showroom, Sec 9 GIDA",Uttar Pradesh,Gorakhpur,"AL -4A, Sector 9 GIDA , Gorakhpur, Uttar Pradesh- 273209",26.74,84.263369,7.0
"IOCL - Citi Fuels, Virender Nagar",Delhi,Delhi,OPP.-VIRENDER NAGAR NEAR BHARATI COLLEGE NEW DELHI,28.62,77.09547,7.0
"SRM Motors, Vikas Nagar",Uttar Pradesh,Lucknow,"11/CP-2, Tedhi Pulia Ring Rd, Vikas Nagar, Lucknow, Uttar Pradesh 226022",26.9,80.964231,7.0
"Shree Dev Wheels, Acharya Nagar",Uttar Pradesh,Ayodhya,"Plot No 402 and 403 B Sultanpur Road, Acharya Nagar, near Avadh University, Ayodhya, UP 224001",26.75,82.141261,7.0
"IOCL - Gay Service Station, Azadpur",Delhi,Delhi,"Near Azadpur, New Delhi,110033",28.7,77.181109,7.0
"Ace Kudale Cycles, Manjri  Bk",Maharashtra,Pune,"Manjri Bk, Pune, Maharashtra 412307",18.49,73.97893593,7.0
"Hotel Dreamland, ST Main Market Mahabaleshwar",Maharashtra,Mahabaleshwar,"BUS STAND, MAIN MARKET, behind S.T, Mahabaleshwar, Maharashtra 412806",17.92,73.65552014,7.0
"ARDEE MALL, Sec 52 Gurgaon",Delhi,Gurgaon,"Ardee City Road, Sector 52, Gurgaon-122022",28.44,77.08082,7.0
"Hotel Baba Ramdev, Sirohi",Rajasthan,Sirohi,"Hotel Baba Ramdev Campus, Nh. 62, near Paladi (m), Vera Vilpur, Sirohi, Rajasthan 307043",24.97,72.895964,7.0
"ABC Autolink, NH 64 Ranoli",Gujarat,Vadodara,"No 1401, Ranoli GIDC, Vadodara, NH 64, Gujarat 391350",22.4,73.13455,7.0
"Brookfield, Powai",Maharashtra,Mumbai,"Spectra, High St, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076",19.11,72.91086,7.0
"Brookfield, Powai",Maharashtra,Mumbai,"Pay & Park, Central Ave, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076",19.11,72.90968,7.0
"MG Ranchi, Line Tank Road",Jharkhand,Ranchi,"Near Firayalals Pulsar Plaza, Line Tank Rd, Ranchi, Jharkhand 834001",23.37,85.326113,7.0
"MG Bhubaneswar, NH 16",Odisha,Bhubaneswar,"Plot No. 86/88, Near Apex Institute of Technology & Management, Pahala, NH-16, Bhubaneswar, Odisha-752101",20.35,85.8903743,7.0
"Ginger Nashik , Satpur Colony",Maharashtra,Nashik,"Plot No P 20 (Part), Satpur MIDC Near Satpur MIDC Police Station (Near Bank of India, Branch Nashik, Trimbakeshwar Rd, MIDC, Satpur Colony, Nashik, Maharashtra 422007",19.99,73.743904,7.0
"TML- Sterling Motors , Renuka Nagar",Maharashtra,Nashik,"PB No 033, Old Agra Rd, Gadkari Chowk, Renuka Nagar, Nashik, Maharashtra 422001",19.99,73.783133,7.0
"IOCL Kevadia, Garudeshwar",Gujarat,Kevadia,"Survey No u00e2u0080u0093 422, 423 Village u00e2u0080u0093 Kevadiya, Taluka u00e2u0080u0093 Garudeshwar District u00e2u0080u0093 Narmada, Gujarat, 393151",21.88,73.688136,7.0
"Satish Motors, Wanjarwadi",Maharashtra,Aurangabad,"Plot No72/1 Saharanpur, Wanjarwadi Aurangabad 431002",19.91,75.232932,7.0
"Heritage Motors, Ghodbunder",Maharashtra,Thane,"Rosa Vista, MH SH 42, opp. Suraj Water Park, Thane, Maharashtra 400607",19.25,72.97145,7.0
"IOCL Karari Fuels, NH 44 Kishangarh",Punjab,Kisangarh,"NH 44, Kishangarh chownk, Jalandhar - Pathankot Rd, Punjab 144301",31.43,75.620357,7.0
"IOCL Royal Petro, NH 44",Haryana,Karnal,"NH 44, Near The Royal Paradise Resort , Karnal- 132001",29.73,76.976511,7.0
"Sagar Motors, Sector 5 Noida",Uttar Pradesh,Noida,"B-123, Udhyog Marg, opp. PayTM building, B Block, Sector 5, Noida, Uttar Pradesh 201301",28.59,77.31969,7.0
"Smile Stone Motels, Kamargaon",Maharashtra,Ahmednagar,"76/B, Nagar-Pune Road, Kamargaon, Ahmednagar,Maharashtra-411 005",18.98,74.5760075,7.0
"One Awadh Centre, Gomti Nagar",Uttar Pradesh,Lucknow,"384, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010",26.86,81.01027566,7.0
"IOCL COCO u00e2u0080u0093 Central Jail RO, Rambagh",Madhya Pradesh,Indore,"Snehlataganj, Indore, Madhya Pradesh 452003",22.33,73.173794,7.0
"IOCL - Vrindavan Fuels, Mangal Nagar,Manikbagh",Madhya Pradesh,Indore,"Manikbagh, Mangal Nagar, Indore, Madhya Pradesh 452014",22.68,75.8558249,7.0
"Chandrani Enterprises, Bogra",West Bengal,Bardhaman,"N/536 BOGRA CHATTI National Highway 2 Paschim Burdwan. , Bogra, Bardhaman- 713332",23.66,87.057978,7.0
"SS Motogen, Barwadda",Jharkhand,Dhanbad,"NH 2 Kashitand, Nag Nagar, Barwadda, Dhanbad, Jharkhand 826004",23.84,86.441642,7.0
"TC Motors, Domjur",West Bengal,Howrah,"NH 16, Salap More, near Kolkata West International City, Domjur, Howrah, West Bengal 711403",22.61,88.273187,7.0
"Rangeet Auto, NH 31",West Bengal,Coochbehar,"31-NH CHOKCHOKA, OPPOSITE PROVA AUTOMOBILE, NEAR CHECK POST, COOCHBEHAR, COOCH BEHAR, WEST BENGAL, 736101",26.32,89.484913,7.0
"Rangeet Auto, Rumtek Road",Sikkim,Gangtok,"R.P. ALLEY COMPLEX, ADAMPOOL, RUMTEK ROAD, GANGTOK, EAST SIKKIM, SIKKIM, 737135",27.3,88.585965,7.0
"Rangeet Auto, Sevoke Road",West Bengal,Siliguri,"Shop No 1 And 2, Orchid Building, Sevoke Road, Near Check Post, Near Vega Mall, Siliguri, West Bengal 734001",26.75,88.439995,7.0
"Tata Steel, Park Street",West Bengal,Kolkata,"43, Jawaharlal Nehru Rd, Kankaria Estates, Park Street area, Kolkata, West Bengal 700071",22.54,88.349602,7.0
"Orange Auto, Erragadda",Telangana,Hyderabad,"8-3-165, Beside Gokul Theatre, Erragadda, Hyderabad u00e2u0080u0093 500018",17.45,78.434575,7.0
"Orange Auto, Karkhana",Telangana,Hyderabad,"Plot No 54, Gayatri Westend Kakaguda, Karkhana, Secunderabad - 500015",17.45,78.5,7.0
"Orange Auto, Hafeezpet",Telangana,Hyderabad,"16ABC, Mini Industrial estate, Hafeezpet, Hyderabad, Telangana 500049",17.49,78.354536,7.0
"KRAFT AUTO, Bokaro Industrial Area",Jharkhand,Bokaro,"Plot no.- II/A 88, Phase - II,Bokaro Industrial Area,Bokaro - Jharkhand 827014 ",23.66,86.073024,7.0
"Lexus Motors, New Town",West Bengal,Kolkata,"Plot No IID/13, Major Arterial Road (North Extension, 14, Rajarhat Rd, AA II, Newtown, Kolkata, West Bengal 700156",22.62,88.461154,7.0
"IOCL Drive-In, Belgachia",West Bengal,Kolkata,"Khudiram Bose Road (Guchia Rd), Dutta Bagan, Belgachia, Kolkata, West Bengal 700037",22.6,88.392281,7.0
"Four Points By Sheraton, Tonk Road",Rajasthan,Jaipur,"No. 1, City Square, Vasundhara Colony, Tonk Road, Jaipur, Rajasthan, 302016",26.86,75.7957703,7.0
"Four Points By Sheraton Hotel, Nagar Road",Maharashtra,Pune,"5th Milestone, Nagar Road, Pune - 411014",18.56,73.922392,7.0
"Fairfield by Marriott,Gachibowli",Telangana,Hyderabad,"Road No. 2, Financial District, Gachibowli, Hyderabad, Telangana - 500032",17.42,78.347334,7.0
"Fairfield by Marriott, Mahindra World City",Tamil Nadu,Chennai,"Near Main Entrance, Mahindra World City, Chennai - 603002",12.73,80.00463,7.0
"Four Points by Sheraton, Chennai OMR",Tamil Nadu,Chennai,"Survey No 169, Plot 1B and 1A, Rajiv Gandhi Salai, Kumaran Nagar, Sholinganallur, Chennai-600119,Four Points 1, Semmancheri, Chennai, Tamil Nadu 600119",12.87,80.227372,7.0
"Fairfield by Marriott, Ashram Rd",Gujarat,Ahmedabad,"Ashram Rd, Satyawadi Society, Usmanpura, Ahmedabad, Gujarat 380013",23.05,72.5710882,7.0
"IOCL - Ruchika Service Station, Mayur Vihar",Delhi,Delhi,"KONDLI GHARAOLI,  MAYUR VIHAR PH-III NEW DELHI-110096",28.6,77.3354221,7.0
"Sagar Motors, Dilshad Garden",Delhi,Delhi,"No ZB/43 487 & ZB, 44 487, Dilshad Garden, New Delhi, Delhi 110095",28.67,77.31768,7.0
"IOCL Laxmi Narayan Petroleum, Changodar",Gujarat,Changodar,"National Highway 8A, Changodar, Gujarat 382210",22.93,72.455668,7.0
"IOCL Om Petroleum, Kamod",Gujarat,Kamod,"Kamod, Gujarat 382427",22.92,72.5434955,7.0
"IOCL Omkar Petroleum, Subhanpura",Gujarat,Vadodara,"High Tension Rd, Subhanpura, Vadodara, Gujarat 390023",22.32,73.154986,7.0
"Lexican Motors, Matigara",West Bengal,Siliguri,"Reliance Industrial Consortium Ltd. NH 31 Baniakhari, Kusumnagar Landmark, beside Barsana Hotel, Matigara, Siliguri, West Bengal 734010",26.72,88.373903,7.0
"IOCL Shanthi Social Services, Singanallur",Tamil Nadu,Coimbatore,"128, 2247, Trichy Rd, Krishnapuram Medu, Singanallur, Tamil Nadu 641005",11.0,77.0387079,7.0
"Hotel Mamalla Heritage, Fisherman Colony",Tamil Nadu,Mahabalipuram,"104 east raja street, Mahabalipuram, Tamil Nadu 603104",12.61,80.19400597,7.0
"Motel Mamalla, SH 49",Tamil Nadu,Mahabalipuram,"Motel Mamalla No.77, East Coast Road, SH 49, Mahabalipuram, Tamil Nadu 603104",12.63,80.1958391,7.0
"Pumpkin Tales, Alwarpet",Tamil Nadu,Chennai,"37, 20, Bheemanna Garden St, Alwarpet, Chennai, Tamil Nadu 600018",13.03,80.255285,7.0
"Mahati Industries limited, Shankar Sheth Road",Maharashtra,Pune,"32/33, Shankar Sheth Road, B/H S T Workshop, Shankar Sheth Road, Pune, Maharashtra-411037",18.49,73.8685639,7.0
"Blue Moon Highway Restaurant, Bangalore-Hyderabad Highway",Andhra Pradesh,Anantapuram,"NH 44; Bangalore - Hyderabad  highway, 116/1B, Midthuru, Peddavaduguru, Anantapuram, Andhra Pradesh 515405",15.02,77.620628,7.0
"Dion Automotives, Ankuli Bye Pass Road",Odisha,Berhampur,"Ankuli Bye Pass Road, Berhampur, Ganjam Dist ODISHA 760010",19.29,84.831762,7.0
"Shyam Automotive, AB Road",Madhya Pradesh,Indore,"A B Road, Before Emerald Heights School, Indore, Madhya Pradesh 453331",22.65,75.821321,7.0
"IOCL - Trishul Service Station, Pimpri-Chinchwad",Maharashtra,Pune,"T-163, MIDC Bhosari, Pune, MIDC, Bhosari, Pimpri-Chinchwad, Piune-411026",18.62,73.8299842,7.0
"Aavas Hotels & Resorts, NH 16 Velampalli",Andhra Pradesh,Ongole,"NH 16, Vijayawada - Nellore Hwy, Vellampalli (Maddipadu) Ongole,  Andhra Pradesh u00e2u0080u0093 523211",15.63,80.0167529,7.0
"Bahubali Motors, Transport Nagar",Chhattisgarh,Raipur,"Mumbai - Kolkata Hwy, Beside M.P Dhaba, Transport Nagar, Tatibandh, Raipur, Chhattisgarh 492099",21.25,81.5594445,7.0
"Malik Cars, Old Bowenpally",Telangana,Secunderabad,"Adj Service Road Sri Sai Enclave, Old Bowenpally, Secunderabad, Telangana 500011",17.47,78.4737723,7.0
"Sairam Automobiles, Krishna Nagar",Chhattisgarh,Bhilai,"Sairam auto G. E Road, Krishna Nagar, Supela, Bhilai, Chhattisgarh 490023",21.21,81.401487,7.0
"Sairam Automobiles, Light Industrial Area",Chhattisgarh,Khursipar," Zone III, Light Industrial Area, Khursipar, Chhattisgarh 490011",21.2,81.3418606,7.0
"Shankar Motors, Prem Nagar",Bihar,Bhagalpur,"Ground Floor, Sabour Rd, near Engineering College, Prem Nagar, Bhagalpur, Bihar 812002",25.25,87.0450289,7.0
"IOCL - NAVABHARAGAVA FILLING STATION, Vijayawada - Hyderabad Hwy",Andhra Pradesh,Vijayawada,"Vijayawada - Hyderabad Hwy, Ibrahimpatnam, Andhra Pradesh 521456",16.58,80.5263493,7.0
"Pacific Mall, Tagore Garden",Delhi,Delhi,"Najafgarh Rd, Tagore Garden, Tilak Nagar, New Delhi, Delhi 110018",28.64,77.1058913,7.0
"Pacific Mall, Netaji Subash Palace",Delhi,Delhi,"Pitam Pura, New Delhi, Delhi 110034",28.69,77.1531325,7.0
"Pacific Mall,  Dwarka",Delhi,Delhi,"Dwarka sector 21 metro station, PACIFIC MALL, Sector 22 Rd, Sector 21, Dwarka, New Delhi, Delhi 110077",28.55,77.056702,7.0
"Pacific Mall, Sahibabad",Uttar Pradesh,Ghaziabad,"Plot Alpha, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201010",28.64,77.3207891,7.0
"Pacific Mall, Rajpur Road",Uttarakhand,Dehradun,"Pacific mall, Rajpur Rd, Jakhan, Dehradun, Uttarakhand 248001",30.36,78.070528,7.0
"Tristar Auto Agencies, RK Beach Junction",Andhra Pradesh,Vizag,"Beside Kali Matha Mandhir, RK Beach Junction, Visakhapatnam-530002",17.71,83.3184811,7.0
"Zostel, Dandeghar",Maharashtra,Panchgani,"Panchgani, Wai, Main Road, Dandeghar, Maharashtra 412805",17.93,73.8158574,7.0
"Rama Automobiles, Patilwada",Maharashtra,Pune,"Ground Floor Pune Nasik Highway, Manchar, Shevawadi, behind Morde Food Product Company, Patilwada, Pune, Maharashtra 410503",18.99,73.94277954,7.0
"Hotel Temple View, Sai Nagar",Maharashtra,Shirdi,"Sai Murali Complex, Manmad Rd, opp. Sai Temple Nagar, Sai Nagar, Shirdi, Maharashtra 423109",19.76,74.4754592,7.0
"Gramps Auto, Bampada",Odisha,Balasore,"NH 16 (Old NH 5), Bampada, Balasore. State: ODISHA, Pin: 756056",21.49,86.88961,7.0
"Jagdalpur Motors, Geedam Road",Chhattisgarh,Jagdalpur,"Geedam Rd, Pandripan, Chhattisgarh 492099",19.06,81.9635956,7.0
"Pragati Trading, NH 37",Assam,Jorhat,"NH37, Jorhat, Assam 785006",26.74,94.1680718,7.0
"Yaksh The Art People, Delhi-Jaipur Highway",Rajasthan,Sayri,"Yaksh, The Art People, Delhi-Jaipur Highway, Syari, Rajasthan 303002",27.15,75.9603844,7.0
